	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
gauge_scale_modal_explanation_rating_2	≥50% - Moderate evidence (suspicious but non-conclusive)	≥50 % - Preuves modérées (suspectes mais non concluantes)	≥50 % - Evidencia moderada (sospechosa pero no concluyente)	≥50 % - Μέτριες ενδείξεις (ύποπτες αλλά μη συμπερασματικές)	≥50 % - Evidenza moderata (sospetta ma non conclusiva)	≥50 % - أدلة معتدلة (مشبوهة ولكن غير نهائية)	≥50 % - Moderate Beweise (verdächtig, aber nicht abschließend)	≥50% - 中程度の証拠 (疑わしいが決定的ではない)	≥50% - Mérsékelt bizonyíték (gyanús, de nem meggyőző)	≥50% - Evidência moderada (suspeita, mas não conclusiva)	≥50% - Umjereni dokazi (sumnjivo, ali ne i konačno)	≥50% - Zmerni dokazi (sumljivi, a ne dokončni)	≥50% - Umjereni dokazi (sumnjivo, ali ne i konačno)
gauge_scale_modal_explanation_rating_3	≥70% - Strong evidence (AI-generated)	≥70 % - Preuves solides (générées par IA)	≥70 % - Evidencia sólida (generada por IA)	≥70 % - Ισχυρές ενδείξεις (δημιουργημένες από AI)	≥70 % - Forti evidenze (generate da IA)	≥70 % - أدلة قوية (تم إنشاؤها بواسطة الذكاء الاصطناعي)	≥70 % - Starke Beweise (KI-generiert)	≥70% - 強力な証拠 (AI 生成)	≥70% - Erős bizonyíték (AI-generált)	≥70% - Evidência sólida (gerada por IA)	≥70% - Jaki dokazi (AI-generirani)	≥70% - Močni dokazi (ustvarjeni z umetno inteligenco)	≥70% - Jaki dokazi (AI-generirani)
gauge_scale_modal_explanation_rating_4	≥90% - Very strong evidence (AI-generated)	≥90 % - Preuves très solides (générées par IA)	≥90 % - Evidencia muy sólida (generada por IA)	≥90 % - Πολύ ισχυρές ενδείξεις (δημιουργημένες από AI)	≥90 % - Evidenze molto forti (generate da IA)	≥90 % - أدلة قوية جداً (تم إنشاؤها بواسطة الذكاء الاصطناعي)	≥90 % - Sehr starke Beweise (KI-generiert)	≥90% - 非常に強力な証拠 (AI 生成)	≥90% - Nagyon erős bizonyíték (AI-generált)	≥90% - Evidência muito sólida (gerada por IA)	≥90% - Vrlo jaki dokazi (AI-generirani)	≥90% - Zelo močni dokazi (ustvarjeni z umetno inteligenco)	≥90% - Vrlo jaki dokazi (AI-generirani)
synthetic_image_detection_download_gauge_button	Download Gauge Chart as jpeg file	Télécharger le graphique de jauge en tant que fichier jpeg	Descargar gráfico de indicadores como archivo jpeg	Λήψη γραφήματος μέτρησης ως αρχείο jpeg	Scarica il grafico della misura come file jpeg	تحميل مخطط القياس كملف jpeg	Downloaden Sie das Messgerätendiagramm als jpeg-Datei	ゲージチャートをjpegファイルとしてダウンロード	Mérődiagram letöltése jpeg fájlként	Baixar gráfico de indicadores como arquivo jpeg	Preuzmi grafikon mjerača kao jpeg datoteku	Prenesite grafikon merilnika kot datoteko jpeg	Preuzmi grafikon mjerača kao jpeg datoteku
synthetic_image_detection_ndd_info	Similar images were detected as synthetic. See detection details for similar images below.	Des images similaires ont été détectées comme synthétiques. Voir les détails de détection pour des images similaires ci-dessous.	Se detectaron imágenes similares como sintéticas. Vea los detalles de detección para imágenes similares a continuación.	Παρόμοιες εικόνες ανιχνεύθηκαν ως συνθετικές. Δείτε λεπτομέρειες ανίχνευσης για παρόμοιες εικόνες παρακάτω.	Sono state rilevate immagini simili come sintetiche. Vedere i dettagli del rilevamento per immagini simili di seguito.	تم اكتشاف صور مماثلة على أنها اصطناعية. انظر تفاصيل الكشف عن الصور المشابهة أدناه.	Ähnliche Bilder wurden als synthetisch erkannt. Siehe Erkennungsdetails für ähnliche Bilder unten.	類似した画像が合成画像として検出されました。以下の同様の画像の検出の詳細を参照してください。	Hasonló képeket szintetikusnak észleltek. Lásd az észlelési részleteket a hasonló képeknél lentebb.	Imagens similares foram detectadas como sintéticas. Veja os detalhes de detecção para imagens similares abaixo.	Slične slike detektirane su kao sintetičke. Pogledajte detalje detekcije za slične slike ispod.	Podobne slike so bile zaznane kot sintetične. Glejte podrobnosti zaznavanja za podobne slike spodaj.	Slične slike detektirane su kao sintetičke. Pogledajte detalje detekcije za slične slike ispod.
synthetic_image_detection_ndd_table_header_1	ID	ID	ID	Ταυτότητα	ID	معرف	ID	ID	ID	ID	ID	ID	ID
synthetic_image_detection_ndd_table_header_2	Image	Image	Image	Εικόνα	Immagine	صورة	Bild	画像	Kép	Imagem	Slika	Slika	Slika
synthetic_image_detection_ndd_table_header_3	Algorithm #	Algorithme #	Algoritmo #	Αλγόριθμος #	Algoritmo #	الخوارزمية #	Algorithmus #	アルゴリズム #	Algoritmus #	Algoritmo #	Algoritam #	Algoritem #	Algoritam #
synthetic_image_detection_ndd_table_header_4	Score #	Score #	Puntuación #	Βαθμολογία #	Punteggio #	النتيجة #	Ergebnis #	スコア ＃	Pontszám #	Pontuação #	Ocjena #	Ocena #	Ocjena #
synthetic_image_detection_ndd_table_header_5	Archive URL	URL d'archive	URL de archivo	Σύνδεσμος αρχείου	URL di archivio	رابط الأرشيف	Archiv-URL	アーカイブURL	Archív URL	URL do arquivo	Arhivski URL	Arhivski URL	Arhivski URL
synthetic_image_detection_ndd_table_header_6	Image URLs	URLs des images	URLs de imágenes	Σύνδεσμοι εικόνων	URL delle immagini	روابط الصور	Bild-URLs	画像の URL	Kép URL-ek	URLs das imagens	URL-ovi slika	URL-ji slik	URL-ovi slika
synthetic_image_detection_ndd_table_header_7	Open analysis	Ouvrir l'analyse	Abrir análisis	Άνοιγμα ανάλυσης	Apri analisi	فتح التحليل	Analyse öffnen	オープン解析	Elemzés megnyitása	Abrir análise	Otvori analizu	Odpri analizo	Otvori analizu
synthetic_image_detection_c2pa_app_device_used	App or device used	Appareil ou dispositif utilisé	Aplicación o dispositivo utilizado	Εφαρμογή ή συσκευή που χρησιμοποιήθηκε	App o dispositivo utilizzato	التطبيق أو الجهاز المستخدم	App oder Gerät verwendet	使用されたアプリまたはデバイス	Használt alkalmazás vagy eszköz	Aplicativo ou dispositivo usado	Korištena aplikacija ili uređaj	Uporabljena aplikacija ali naprava	Korištena aplikacija ili uređaj
synthetic_image_detection_c2pa_ai_tool_used	AI tool used	Outil d’IA utilisé	Herramienta de IA utilizada	Εργαλείο τεχνητής νοημοσύνης που χρησιμοποιήθηκε	Strumento di IA utilizzato	أداة الذكاء الاصطناعي المستخدمة	Verwendetes KI-Tool	使用されたAIツール	Használt mesterséges intelligencia eszköz	Ferramenta de IA usada	Korišteni AI alat	Uporabljeno orodje AI	Korišteni AI alat
synthetic_image_detection_c2pa_accordion_summary	C2PA GenAI Metadata	Métadonnées GenAI C2PA	Metadatos GenAI C2PA	Μεταδεδομένα GenAI C2PA	Metadati GenAI C2PA	بيانات وصفية GenAI C2PA	C2PA GenAI-Metadaten	C2PA GenAI メタデータ	C2PA GenAI metaadatok	Metadados GenAI C2PA	C2PA GenAI Metapodaci	C2PA GenAI metapodatki	C2PA GenAI Metapodaci
synthetic_image_detection_ldm_r50_grip_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<2%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<2 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<2%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημειωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<2%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<2%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<2%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die bisherigen in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder falsch-positive Ergebnisse (<2 %) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um Rat einzuholen.	慎重に使用してください。 veraai.eu の新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回りましたが、広範なテスト中に依然としていくつかのエラーや誤検知 (<2%) が指摘されています。 不確かな場合は、フィードバック ボタンを使用してガイダンスを求めてください。	Óvatosan használandó. Bár az új veraai.eu szintetikus képérzékelő modellek több tényellenőrzésben is felülmúlták a korábbiakat, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<2%). Ha bizonytalan, használja a visszajelzés gombot útmutatásért.	Use com cautela. Embora os novos modelos de detecção de imagem sintética veraai.eu tenham superado os anteriores em varias verificações de fatos, alguns erros ou falsos positivos (<2%) ainda foram observados durante testes extensivos. Se não tiver certeza, use o botão de feedback para solicitar orientación.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<2%) i dalje su primijećeni tijekom opsežnog testiranja. Ako niste sigurni, upotrijebite gumb za povratne informacije i zatražite smjernice.	Uporabljajte previdno. Čeprav so novi modeli za zaznavanje sintetičnih slik veraai.eu v več preverjanjih dejstev prekosili prejšnje, so bili med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<2 %). Če ste negotovi, uporabite gumb za povratne informacije in prosite za navodila.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<2%) i dalje su primijećeni tokom opsežnog testiranja. Ako niste sigurni, upotrijebite dugme za povratne informacije i zatražite smjernice.
synthetic_image_detection_gigagan-webp_r50_grip_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<1%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<1 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<1%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<1%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<1%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<1%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die bisherigen in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder falsch-positive Ergebnisse (<1 %) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um Rat einzuholen.	慎重に使用してください。 veraai.eu の新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回りましたが、広範なテスト中に依然としていくつかのエラーや誤検知 (<1%) が指摘されています。 不確かな場合は、フィードバック ボタンを使用してガイダンスを求めてください。	Óvatosan használandó. Bár az új veraai.eu szintetikus képérzékelő modellek több tényellenőrzésben is felülmúlták a korábbiakat, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<1%). Ha bizonytalan, használja a visszajelzés gombot útmutatásért.	Use com cautela. Embora os novos modelos de detecção de imagem sintética veraai.eu tenham superado os anteriores em varias verificações de fatos, algunos erros ou falsos positivos (<1%) ainda foram observados durante testes extensivos. Se não tiver certeza, use o botão de feedback para solicitar orientación.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<1%) i dalje su primijećeni tijekom opsežnog testiranja. Ako niste sigurni, upotrijebite gumb za povratne informacije i zatražite smjernice.	Uporabljajte previdno. Čeprav so novi modeli za zaznavanje sintetičnih slik veraai.eu v več preverjanjih dejstev prekosili prejšnje, so bili med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<1 %). Če ste negotovi, uporabite gumb za povratne informacije in prosite za navodila.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<1%) i dalje su primijećeni tokom opsežnog testiranja. Ako niste sigurni, upotrijebite dugme za povratne informacije i zatražite smjernice.
synthetic_image_detection_ldm_r50_mever_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<3%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<3 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<3%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<3%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<3%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<3%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die bisherigen in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder falsch-positive Ergebnisse (<3 %) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um Rat einzuholen.	慎重に使用してください。 veraai.eu の新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回りましたが、広範なテスト中に依然としていくつかのエラーや誤検知 (<3%) が指摘されています。 不確かな場合は、フィードバック ボタンを使用してガイダンスを求めてください。	Óvatosan használandó. Bár az új veraai.eu szintetikus képérzékelő modellek több tényellenőrzésben is felülmúlták a korábbiakat, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<3%). Ha bizonytalan, használja a visszajelzés gombot útmutatásért.	Use com cautela. Embora os novos modelos de detecção de imagem sintética veraai.eu tenham superado os anteriores em varias verificações de fatos, alguns erros ou falsos positivos (<3%) ainda foram observados durante testes extensivos. Se não tiver certeza, use o botão de feedback para solicitar orientación.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<3%) i dalje su primijećeni tijekom opsežnog testiranja. Ako niste sigurni, upotrijebite gumb za povratne informacije i zatražite smjernice.	Uporabljajte previdno. Čeprav so novi modeli za zaznavanje sintetičnih slik veraai.eu v več preverjanjih dejstev prekosili prejšnje, so bili med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<3 %). Če ste negotovi, uporabite gumb za povratne informacije in prosite za navodila.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<3%) i dalje su primijećeni tokom opsežnog testiranja. Ako niste sigurni, upotrijebite dugme za povratne informacije i zatražite smjernice.
synthetic_image_detection_itw_rine_mever_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<3%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<3 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<3%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<3%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<3%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<3%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die bisherigen in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder falsch-positive Ergebnisse (<3 %) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um Rat einzuholen.	慎重に使用してください。 veraai.eu の新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回りましたが、広範なテスト中に依然としていくつかのエラーや誤検知 (<3%) が指摘されています。 不確かな場合は、フィードバック ボタンを使用してガイダンスを求めてください。	Óvatosan használandó. Bár az új veraai.eu szintetikus képérzékelő modellek több tényellenőrzésben is felülmúlták a korábbiakat, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<3%). Ha bizonytalan, használja a visszajelzés gombot útmutatásért.	Use com cautela. Embora os novos modelos de detecção de imagem sintética veraai.eu tenham superado os anteriores em varias verificações de fatos, alguns erros ou falsos positivos (<3%) ainda foram observados durante testes extensivos. Se não tiver certeza, use o botão de feedback para solicitar orientación.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<3%) i dalje su primijećeni tijekom opsežnog testiranja. Ako niste sigurni, upotrijebite gumb za povratne informacije i zatražite smjernice.	Uporabljajte previdno. Čeprav so novi modeli za zaznavanje sintetičnih slik veraai.eu v več preverjanjih dejstev prekosili prejšnje, so bili med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<3 %). Če ste negotovi, uporabite gumb za povratne informacije in prosite za navodila.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<3%) i dalje su primijećeni tokom opsežnog testiranja. Ako niste sigurni, upotrijebite dugme za povratne informacije i zatražite smjernice.
synthetic_image_detection_itw_spai_mever_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<6%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<6 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<6%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<6%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<6%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<6%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die bisherigen in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder falsch-positive Ergebnisse (<6 %) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um Rat einzuholen.	慎重に使用してください。 veraai.eu の新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回りましたが、広範なテスト中に依然としていくつかのエラーや誤検知 (<6%) が指摘されています。 不確かな場合は、フィードバック ボタンを使用してガイダンスを求めてください。	Óvatosan használandó. Bár az új veraai.eu szintetikus képérzékelő modellek több tényellenőrzésben is felülmúlták a korábbiakat, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<6%). Ha bizonytalan, használja a visszajelzés gombot útmutatásért.	Use com cautela. Embora os novos modelos de detecção de imagem sintética veraai.eu tenham superado os anteriores em varias verificações de fatos, alguns erros ou falsos positivos (<6%) ainda foram observados durante testes extensivos. Se não tiver certeza, use o botão de feedback para solicitar orientación.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<6%) i dalje su primijećeni tijekom opsežnog testiranja. Ako niste sigurni, upotrijebite gumb za povratne informacije i zatražite smjernice.	Uporabljajte previdno. Čeprav so novi modeli za zaznavanje sintetičnih slik veraai.eu v več preverjanjih dejstev prekosili prejšnje, so bili med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<6 %). Če ste negotovi, uporabite gumb za povratne informacije in prosite za navodila.	Koristite s oprezom. Iako su novi modeli detekcije sintetičkih slika veraai.eu nadmašili prethodne u nekoliko provjera činjenica, neki pogrešni ili lažno pozitivni rezultati (<6%) i dalje su primijećeni tokom opsežnog testiranja. Ako niste sigurni, upotrijebite dugme za povratne informacije i zatražite smjernice.
